id,disbursement_id,state,provider_name,provider_id,selection_reason,provider_error_category,created_at,last_updated_at,eta,max_eta,error,provider_error,receipt_number,psp_account_id,_cdc_operation,_cdc_lsn,_cdc_loaded_at
3fe68c9c-4758-367b-a649-9cdc507b9072,92ec89af-13ae-c376-c359-810a71a6014c,COMPLETED,THUNES,P218959,PRIORITY_ORDER,,2026-07-27 18:20:27,2026-07-27 19:00:27,2026-07-27 18:30:27,2026-07-28 18:20:27,,,R4121368,e9ddebf5-6311-9aca-848a-f4407fc15858,INSERT,2113,2026-09-07 11:52:00
8ccc9cea-109f-d8ee-b5a4-720058f0dd23,1679742f-ff4c-96d6-71f2-ce8fb69f68c3,FAILED,TERRAPAY,P668507,PREDEFINED,INVALID_ACCOUNT,2026-08-06 03:16:04,2026-08-07 03:16:04,2026-08-06 03:26:04,2026-08-07 03:16:04,provider declined,ERR_42,,b5a5f8e6-b639-1f04-2852-4385d9f2dd0d,INSERT,2114,2026-09-07 11:45:00
5c8ac066-cb2f-afa3-2c91-3a7ca3404f08,1679742f-ff4c-96d6-71f2-ce8fb69f68c3,WAITING_ON_PROVIDER,CELLULANT,P633469,SMART_ROUTING,INSUFFICIENT_FUNDS,2026-08-07 03:16:14,2026-08-07 03:21:14,2026-08-07 03:26:14,2026-08-08 03:16:14,provider declined,ERR_42,,238d6f44-cac4-d0eb-3373-730efc31a597,INSERT,2115,2026-09-07 11:51:00
12fc7a87-a470-4d48-5128-b9b1f8ede0ca,c4e7f7dd-6929-de73-8693-fd9d7a89cbeb,FAILED,THUNES,P571832,PROBING,PROVIDER_TIMEOUT,2026-08-20 09:29:24,2026-08-20 09:30:54,2026-08-20 09:39:24,2026-08-21 09:29:24,provider declined,ERR_42,,e0c1ff1e-20da-8972-5832-1ee48471b4b0,INSERT,2116,2026-09-07 11:41:00
96792482-a3c9-88e4-8d22-38e6c7bf4fbc,c4e7f7dd-6929-de73-8693-fd9d7a89cbeb,COMPLETED,TERRAPAY,P290802,SMART_ROUTING,,2026-08-20 09:31:04,2026-08-23 20:51:04,2026-08-20 09:41:04,2026-08-21 09:31:04,,,R8258130,0e2f8958-de43-1e06-e924-706980bbae52,INSERT,2117,2026-09-07 11:33:00
4d85e9c7-a001-7720-200b-290346426c45,143029a9-d88f-1c94-48b7-63d5e519dd7e,COMPLETED,TERRAPAY,P744274,PRIORITY_ORDER,,2026-08-08 06:20:20,2026-08-08 07:20:20,2026-08-08 06:30:20,2026-08-09 06:20:20,,,R9431778,f10d27c8-9780-c215-2b2b-b8e9a417c093,INSERT,2118,2026-09-07 11:58:00
a08dd21b-e395-4cb1-7f7f-6c0a07c0d116,35f789bc-a6b0-7458-43c0-7d4393a74792,WAITING_ON_PROVIDER,CELLULANT,P672079,PREDEFINED,PROVIDER_TIMEOUT,2026-08-23 19:34:45,2026-08-23 19:39:45,2026-08-23 19:44:45,2026-08-24 19:34:45,provider declined,ERR_42,,3eb05181-7ba2-4588-4d56-0a3df4e7069a,INSERT,2119,2026-09-07 11:45:00
51b1943c-1b2e-dedb-8fc8-5fc083d5bceb,f9b21e6e-586a-346a-dc5b-e7d1fcef1972,COMPLETED,TERRAPAY,P353480,PROBING,,2026-07-28 01:01:41,2026-07-28 01:26:41,2026-07-28 01:11:41,2026-07-29 01:01:41,,,R3055576,24108e9a-3f77-9cae-7318-b96d44790612,INSERT,2120,2026-09-07 11:40:00
750d112e-8164-ceec-64ab-851bf1fac6e7,7faeb748-7781-321e-83c5-01cbfef7d9ea,COMPLETED,TERRAPAY,P352422,SMART_ROUTING,,2026-09-04 10:49:55,2026-09-04 10:50:40,2026-09-04 10:59:55,2026-09-05 10:49:55,,,R6920597,7eb162f1-4806-f804-0cf0-374c0c74dc0f,INSERT,2121,2026-09-07 11:45:00
9f8cc29f-fd35-0c5f-d347-9a3b479bc637,62e7c1a6-12d2-fa06-49e1-cd138da00495,COMPLETED,CELLULANT,P813449,PRIORITY_ORDER,,2026-07-24 21:32:08,2026-07-24 22:32:08,2026-07-24 21:42:08,2026-07-25 21:32:08,,,R3158613,5f89ed12-64d6-dfbf-18c0-1e2bf99f0704,INSERT,2122,2026-09-07 11:44:00
23c8afdb-83f8-2f16-e4a4-474c9b33e3a4,554227de-b6ad-f48b-2314-d0c809f64405,COMPLETED,TERRAPAY,P443897,PREDEFINED,,2026-08-30 03:36:23,2026-08-30 03:37:53,2026-08-30 03:46:23,2026-08-31 03:36:23,,,R3726331,bd44089d-9dd2-f9de-fd98-fe336498abe9,INSERT,2123,2026-09-07 11:41:00
ff84faef-5336-723b-8f96-468535145890,ba370623-bc5f-d4dd-d92f-3c1edf70fb2a,FAILED,THUNES,P794395,PROBING,PROVIDER_TIMEOUT,2026-08-27 12:10:27,2026-08-27 13:10:27,2026-08-27 12:20:27,2026-08-28 12:10:27,provider declined,ERR_42,,2c55aef7-f4e9-5734-5052-1700607796a3,INSERT,2124,2026-09-07 11:46:00
35102852-b474-6349-49fc-2cd8c56bad4c,476cf68c-3f1b-e0d0-f514-105831383975,COMPLETED,CELLULANT,P823769,PROBING,,2026-08-26 07:27:08,2026-08-26 07:37:08,2026-08-26 07:37:08,2026-08-27 07:27:08,,,R6319061,ef06fccb-8f7c-1d59-594b-2a3a7ad465a1,INSERT,2125,2026-09-07 11:57:00
d3f4a49b-33ba-ba88-36c7-d6fa7aa4f052,ec8be537-58ab-4778-143b-45e3b6d1f6bb,COMPLETED,TERRAPAY,P664739,PREDEFINED,,2026-08-21 08:09:26,2026-08-22 08:09:27,2026-08-21 08:19:26,2026-08-22 08:09:26,,,R5557052,bdab07e7-9d9d-028e-1bf6-45f623245211,INSERT,2126,2026-09-07 11:54:00
c1836315-330f-8be1-a689-b4247a3a10e1,286ed390-edd9-7a1a-fa58-5b278ce3e7c3,COMPLETED,TERRAPAY,P401198,PREDEFINED,,2026-08-26 00:25:17,2026-08-26 01:25:16,2026-08-26 00:35:17,2026-08-27 00:25:17,,,R5788474,c4cb294f-e86e-8e63-0f25-477da55990e7,INSERT,2127,2026-09-07 11:59:00
df4e713e-f64e-3dfc-bfbe-ac7aefc59738,ff46a6bf-094d-916d-eb6d-2fedef158d5b,WAITING_ON_PROVIDER,TERRAPAY,P403528,PRIORITY_ORDER,INSUFFICIENT_FUNDS,2026-08-28 14:30:05,2026-08-28 14:35:05,2026-08-28 14:40:05,2026-08-29 14:30:05,provider declined,ERR_42,,1b780ede-9a4f-fc0c-9165-f2ed4c636e95,INSERT,2128,2026-09-07 11:42:00
aca58d95-915a-1c30-4b86-b5a1ca6fbff8,b7f60cdf-41dc-1c60-a5f6-0735757b6b29,COMPLETED,THUNES,P894068,SMART_ROUTING,,2026-08-24 15:11:29,2026-08-24 15:36:29,2026-08-24 15:21:29,2026-08-25 15:11:29,,,R3944316,e5a4983b-a383-889a-db2c-6ac89c678393,INSERT,2129,2026-09-07 11:45:00
4d4c5280-5462-52e7-f43b-a0524459bd6e,42c2d2eb-01bf-9e73-3f80-0385ef9240b6,COMPLETED,TERRAPAY,P710754,PRIORITY_ORDER,,2026-07-28 17:03:54,2026-07-29 20:50:34,2026-07-28 17:13:54,2026-07-29 17:03:54,,,R5388133,3c7e5368-b159-4847-5c0b-9b10a757cb10,INSERT,2130,2026-09-07 11:42:00
6a74dbb7-5fa5-e0aa-9b11-b530fd247c11,22319050-f515-9494-3818-cfd33889936a,COMPLETED,TERRAPAY,P836038,PROBING,,2026-08-01 06:05:30,2026-08-02 06:05:31,2026-08-01 06:15:30,2026-08-02 06:05:30,,,R4664338,c1369c65-ae2a-e341-3f59-e4f2c3093b6e,INSERT,2131,2026-09-07 11:39:00
1dc1e7eb-711c-7673-8535-1a69dabf984e,929c93b3-33c0-8bf1-8167-999fe723ada3,COMPLETED,CELLULANT,P813341,SMART_ROUTING,,2026-08-19 03:22:28,2026-08-19 03:47:28,2026-08-19 03:32:28,2026-08-20 03:22:28,,,R9201172,720b274b-82a7-f586-e61d-9cde1747f387,INSERT,2132,2026-09-07 11:58:00
e4eb8000-ef40-d162-0f6c-e9bffe7ee362,6c776e95-0b98-1ccd-12b2-102d940c3503,COMPLETED,TERRAPAY,P172371,PROBING,,2026-08-18 09:59:07,2026-08-18 10:59:07,2026-08-18 10:09:07,2026-08-19 09:59:07,,,R1532422,c4db5a62-2e13-418d-68ab-80ea497ec6d1,INSERT,2133,2026-09-07 11:31:00
8b60c511-b816-8aeb-ac6a-7c8576876c62,ba54e920-2099-d180-8762-3997649f7d88,FAILED,TERRAPAY,P544730,PROBING,INSUFFICIENT_FUNDS,2026-08-15 06:35:31,2026-08-15 06:45:31,2026-08-15 06:45:31,2026-08-16 06:35:31,provider declined,ERR_42,,27b608dc-589d-ecb0-75eb-89c23f5cf2f3,INSERT,2134,2026-09-07 11:48:00
b99b2b5a-e00d-a49d-effa-20023040413c,ba54e920-2099-d180-8762-3997649f7d88,COMPLETED,THUNES,P902674,PRIORITY_ORDER,,2026-08-15 06:45:41,2026-08-15 06:55:41,2026-08-15 06:55:41,2026-08-16 06:45:41,,,R1540516,9d6b9b62-6b53-5a19-a902-b73fcf39f648,INSERT,2135,2026-09-07 11:44:00
bb44badc-ea98-fef8-d0d7-5e373bf2025f,0e731dd7-c6ac-1b04-dd1d-6cd1c11f6bf5,COMPLETED,THUNES,P704095,PREDEFINED,,2026-07-27 18:24:28,2026-07-27 18:34:28,2026-07-27 18:34:28,2026-07-28 18:24:28,,,R6379867,24acb722-e052-7739-4d40-6f1b3ca5be29,INSERT,2136,2026-09-07 11:32:00
605fb1eb-4cc5-7e0d-2633-20186883ac6e,61935990-abdd-1a8f-a4b0-5c89f10bce9c,COMPLETED,CELLULANT,P292811,PROBING,,2026-08-06 20:35:09,2026-08-06 21:15:09,2026-08-06 20:45:09,2026-08-07 20:35:09,,,R5042775,db87d29c-4cfd-0fc1-39b0-2e2ad96e684f,INSERT,2137,2026-09-07 11:37:00
0a1fc9df-9a59-1974-9adf-4709ac75c344,b97e6224-891f-6912-17ab-b8635efeef4f,COMPLETED,THUNES,P176319,SMART_ROUTING,,2026-08-20 19:14:07,2026-08-20 19:54:07,2026-08-20 19:24:07,2026-08-21 19:14:07,,,R4640933,e8334da5-de95-d695-3579-c1437ab99428,INSERT,2138,2026-09-07 11:55:00
e1fff6c0-8347-f1da-5c11-ab6d42f5b3f5,775c30b5-6173-0c48-4876-9153c68813fe,COMPLETED,CELLULANT,P621433,PROBING,,2026-08-02 17:24:07,2026-08-02 17:34:07,2026-08-02 17:34:07,2026-08-03 17:24:07,,,R2654371,78308631-b8f0-188e-fb37-afaecd8563ca,INSERT,2139,2026-09-07 11:57:00
f186e47a-a794-6320-8cf6-e8b87fd238c3,3ae28023-5472-0d2d-3239-9ffb27046f25,COMPLETED,TERRAPAY,P818113,PREDEFINED,,2026-08-08 16:35:20,2026-08-08 16:39:20,2026-08-08 16:45:20,2026-08-09 16:35:20,,,R5317226,f76d15fd-7d16-45a0-d253-d966c36b9a0a,INSERT,2140,2026-09-07 11:38:00
3b3f3800-a175-a9c3-d7b1-02a92332a50e,ab102c9b-d168-2e09-f1f7-d90413075157,COMPLETED,THUNES,P171269,SMART_ROUTING,,2026-08-29 01:44:59,2026-08-29 02:24:59,2026-08-29 01:54:59,2026-08-30 01:44:59,,,R1153368,5f8a14bd-74bd-0c93-8177-b66137fe032c,INSERT,2141,2026-09-07 11:48:00
fd7fe973-3e42-df5b-90a3-fbbf7580e050,446f64dd-5abc-a6e5-d0b1-e3eb409e7a80,COMPLETED,TERRAPAY,P831105,SMART_ROUTING,,2026-09-01 23:24:18,2026-09-02 00:04:18,2026-09-01 23:34:18,2026-09-02 23:24:18,,,R6032739,14a34f7f-d90d-d19b-d3fb-e043af1d5a1a,INSERT,2142,2026-09-07 11:57:00
e336c243-b139-c476-de3c-e88be6b9d31a,1869a217-f94d-8fcb-dba3-496ffa323f69,FAILED,THUNES,P694316,PROBING,INVALID_ACCOUNT,2026-08-11 21:52:58,2026-08-11 21:56:58,2026-08-11 22:02:58,2026-08-12 21:52:58,provider declined,ERR_42,,af36b8cc-1308-7974-ec95-b3ac0beb7c34,INSERT,2143,2026-09-07 11:36:00
a879d8f8-9042-2eb7-8b04-0f53e63949d4,1869a217-f94d-8fcb-dba3-496ffa323f69,COMPLETED,CELLULANT,P134500,SMART_ROUTING,,2026-08-11 21:57:08,2026-08-11 22:07:08,2026-08-11 22:07:08,2026-08-12 21:57:08,,,R6276177,9647ff9f-3508-507a-f622-d84204022b3c,INSERT,2144,2026-09-07 11:51:00
57311609-1375-ee90-d6b3-61e43b6dca0d,bed63da0-8033-f5c2-1413-d64db962c8a7,COMPLETED,TERRAPAY,P734565,PROBING,,2026-08-01 09:16:35,2026-08-01 09:56:35,2026-08-01 09:26:35,2026-08-02 09:16:35,,,R6475691,c8969c5b-45f8-c28d-a255-e1bb07958c1f,INSERT,2145,2026-09-07 11:41:00
176de21f-1b46-ebdc-5c56-d9bc5111d31d,b630794d-6147-adeb-277b-06674499d0a6,COMPLETED,CELLULANT,P105447,PREDEFINED,,2026-08-20 08:20:38,2026-08-20 09:00:38,2026-08-20 08:30:38,2026-08-21 08:20:38,,,R8461429,1a2bd69c-450f-69ee-c2e7-9a985c238d8d,INSERT,2146,2026-09-07 11:51:00
3e245fbf-fa69-8cd2-fe23-90f3e7bbaefc,6346d4ef-69ef-74e3-4ab6-821c0328c136,COMPLETED,THUNES,P699743,SMART_ROUTING,,2026-08-15 06:56:56,2026-08-15 07:56:56,2026-08-15 07:06:56,2026-08-16 06:56:56,,,R7387623,4d16f049-44d7-df9a-238b-05b72b64777c,INSERT,2147,2026-09-07 11:31:00
614077d3-9ec4-ea48-d773-f98d550c2fe9,22af711f-1b62-8a9d-7536-6b9f320f72c0,COMPLETED,TERRAPAY,P943135,PREDEFINED,,2026-08-01 14:49:08,2026-08-01 15:29:08,2026-08-01 14:59:08,2026-08-02 14:49:08,,,R8385715,d2d33488-d0c3-0018-6e3c-dd4f55b145e4,INSERT,2148,2026-09-07 11:36:00
8bae591e-ff4c-c10f-979c-30cf33261887,47c1c017-6045-2909-536d-47d73e0f84ce,COMPLETED,TERRAPAY,P288667,PRIORITY_ORDER,,2026-08-22 18:48:01,2026-08-23 05:54:41,2026-08-22 18:58:01,2026-08-23 18:48:01,,,R8744735,703e957f-35ab-8466-b557-8b00f166cdcf,INSERT,2149,2026-09-07 11:59:00
a85894df-3f8c-1097-c4da-2c2e1bffa279,b39e4df2-5c0a-1feb-f7ea-e66eca6caf9b,COMPLETED,CELLULANT,P796982,PREDEFINED,,2026-08-19 10:35:29,2026-08-19 10:36:14,2026-08-19 10:45:29,2026-08-20 10:35:29,,,R3790696,902f3465-0b57-0720-9cd8-758ba5a1c825,INSERT,2150,2026-09-07 11:37:00
34f541c0-c8c5-eb2a-7490-adeb57d337d3,f0d0270f-d4d1-3d55-1db6-b84415fa9483,COMPLETED,CELLULANT,P646428,PROBING,,2026-08-12 11:42:45,2026-08-12 11:52:45,2026-08-12 11:52:45,2026-08-13 11:42:45,,,R6843509,b8d49848-702b-a49f-18fd-d2b979e5c9aa,INSERT,2151,2026-09-07 11:40:00
