id,service,type,state,priority,staff_id,assignee_id,associated_ids,content,created_at,last_updated_at,resolution,_cdc_operation,_cdc_lsn,_cdc_loaded_at
078ebe4e-0b80-79d7-114c-440d675db93b,fincrime,transaction_review,RESOLVED,MEDIUM,,1b314321-aa4e-8b03-18b6-dfc73b50f94f,"[""8b0a4802-bd64-e8d6-b757-ec69c09c3207"", ""9261549d-3d22-5c30-b28f-41defb140bc3"", ""89e06ab3-7250-ee18-260a-5962dd81b7f5""]","{""account_id"": ""9261549d-3d22-5c30-b28f-41defb140bc3""}",2026-08-22 20:23:07,2026-08-25 12:23:07,ESCALATED,INSERT,2667,2026-09-07 11:45:00
917bc866-6874-7b44-c63e-23bf5c0c309c,fincrime,transaction_review,OPEN,HIGH,,f52eaf63-badf-c7a8-aeaf-39512f701b32,"[""255b30e2-bdc2-b74b-38a5-6b49dd34aa18"", ""81fb18b3-c9a7-d91f-ef2a-e71357021049"", ""25074181-8d1f-b540-74ef-f5453e652603""]","{""account_id"": ""81fb18b3-c9a7-d91f-ef2a-e71357021049""}",2026-08-08 16:43:55,2026-08-08 16:43:55,,INSERT,2668,2026-09-07 11:57:00
edeac5b8-9cc8-62cd-bd42-11d1992033eb,fincrime,transaction_review,OPEN,CRITICAL,,b92c23e3-4540-09f2-2124-9735f2546c17,"[""ef87bf0d-c802-2f8e-38de-6b6e86c45e42"", ""505cc686-9f87-1ce7-5487-fd4febb7a385"", ""6fa17735-b572-f3d0-0b5c-ea6a41357e8c""]","{""account_id"": ""505cc686-9f87-1ce7-5487-fd4febb7a385""}",2026-08-23 00:37:56,2026-08-23 00:37:56,,INSERT,2669,2026-09-07 11:33:00
b8469295-df8d-b157-03d0-6453cd409bc9,fincrime,transaction_review,RESOLVED,MEDIUM,,0e80ea41-139c-d2b0-0e8f-ed60d007fd07,"[""cc18dd0e-7978-dc84-ea89-a9797aa6d6ea"", ""1a2a73ed-562b-0f79-c374-59eef50bea63"", ""de8a774b-cf36-d58b-4737-819096da1dac""]","{""account_id"": ""1a2a73ed-562b-0f79-c374-59eef50bea63""}",2026-09-03 00:05:41,2026-09-03 17:05:41,REJECTED,INSERT,2670,2026-09-07 11:52:00
b993c041-5f54-f332-1f6c-6a8635f4ffba,fincrime,transaction_review,OPEN,LOW,,70b6052f-b2c6-8986-3c2f-db76fa584a4b,"[""c7195dd0-16f0-c19c-a894-b11eabb558e1"", ""4d6168bd-2def-e193-5c62-b3a23a3c563e"", ""7bf47042-bd15-31c8-3764-fbda3108d448""]","{""account_id"": ""4d6168bd-2def-e193-5c62-b3a23a3c563e""}",2026-08-11 17:40:27,2026-08-11 17:40:27,,INSERT,2671,2026-09-07 11:40:00
70b81530-dc4e-557f-81b8-5934af378cf9,fincrime,transaction_review,RESOLVED,HIGH,,3a5b171c-b7a4-c108-8dac-20f90abd99fd,"[""d0bcbad5-85f8-0d9b-0006-0d5a02b3c948"", ""a0a04dc4-2720-9bdf-1c11-f735dc713d96"", ""6dadd6c7-95a7-6d79-bf3c-4c06434308bc""]","{""account_id"": ""a0a04dc4-2720-9bdf-1c11-f735dc713d96""}",2026-08-13 12:57:13,2026-08-13 20:57:13,ESCALATED,INSERT,2672,2026-09-07 11:43:00
ee28b2f4-4a76-a0ea-0b6b-99445e4908c8,fincrime,transaction_review,RESOLVED,MEDIUM,,1b3206f0-0689-7b1c-975a-ae69e9707c9e,"[""87b3d329-cfec-1804-c891-c9c689529c51"", ""e27a984d-6548-21d0-7fcd-9eb1a7cad415"", ""ce177b4e-0837-b8a3-d261-a7ab3aa2e4f9""]","{""account_id"": ""e27a984d-6548-21d0-7fcd-9eb1a7cad415""}",2026-07-25 11:40:27,2026-07-28 17:40:27,APPROVED,INSERT,2673,2026-09-07 11:50:00
1e78ba02-4b1b-bb3a-b644-8d243dcead91,fincrime,transaction_review,RESOLVED,HIGH,,562e121f-e5fa-855d-d320-8f77e5bdbb3e,"[""b2c027e8-1ed0-72e9-f9fc-6034750acc98"", ""bbda0242-2d17-4fc9-6f7c-15ea272a6d8e"", ""575aed2c-a5c5-650c-8186-a57611a72609""]","{""account_id"": ""bbda0242-2d17-4fc9-6f7c-15ea272a6d8e""}",2026-08-12 15:08:53,2026-08-15 19:08:53,ESCALATED,INSERT,2674,2026-09-07 11:42:00
ba345e82-38f1-f1ab-cb17-0945be88f8e4,fincrime,transaction_review,OPEN,HIGH,,46af040d-55d8-a81a-81ce-b20e281f45ff,"[""8f9fdc15-dfd2-3d15-7211-4575fa3efd03"", ""8c459ce2-67f4-8ad5-4d0b-0d1a91b0e1d9"", ""8dedf9fb-4bb0-0f20-b27c-40266703b636""]","{""account_id"": ""8c459ce2-67f4-8ad5-4d0b-0d1a91b0e1d9""}",2026-08-07 08:01:35,2026-08-07 08:01:35,,INSERT,2675,2026-09-07 11:54:00
380bd4cb-18b6-66f8-4ba0-768a7b2021f7,fincrime,transaction_review,RESOLVED,LOW,,c145217f-e595-e3fa-e182-58d2f681db3f,"[""2e7d952b-785b-8a07-8b0e-a0b912464474"", ""587ef344-6f3f-920c-98b8-e4cc1bc044fc"", ""1d870966-0710-d430-f071-d87954c63cd8""]","{""account_id"": ""587ef344-6f3f-920c-98b8-e4cc1bc044fc""}",2026-07-27 05:56:26,2026-07-28 18:56:26,REJECTED,INSERT,2676,2026-09-07 11:55:00
