id,owner_id,name,type,status,features,created,last_updated,profile_id,limit_level,client_properties,deleted,_cdc_operation,_cdc_lsn,_cdc_loaded_at
815ef6d1-3b8f-aa18-37f8-a88b17fc695a,bc8960a9-23b8-c1e9-3924-56de3eb13b90,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-17 17:40:50,2026-02-17 17:40:50,32e70629-8fad-c1a6-06cb-0fb39a1de644,L3,{},,INSERT,1464,2026-09-07 11:40:00
1a2a73ed-562b-0f79-c374-59eef50bea63,de8a774b-cf36-d58b-4737-819096da1dac,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-05 03:13:21,2026-08-05 03:13:21,5be6128e-18c2-6797-6142-ea7d17be3111,L2,{},,INSERT,1465,2026-09-07 11:56:00
4a15544d-c5e7-ce8a-3a57-8a8ea9488d99,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-18 05:30:47,2026-04-18 05:30:47,3b982ef8-daf6-1a26-146d-3f31fc377a4c,L1,{},,INSERT,1466,2026-09-07 11:52:00
fd5166e6-451b-4cf3-6123-fdf77656af72,35a240ae-5af3-0553-5ec4-2e0829a3b2e9,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-23 10:54:06,2026-04-23 10:54:06,8e944239-b02b-61c4-a3d7-0628ece66fa2,L1,{},,INSERT,1467,2026-09-07 11:52:00
e27a984d-6548-21d0-7fcd-9eb1a7cad415,ce177b4e-0837-b8a3-d261-a7ab3aa2e4f9,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-11 10:32:02,2026-05-11 10:32:02,24933b83-7577-50a9-a491-f0b2ea1fca65,L2,{},,INSERT,1468,2026-09-07 11:51:00
a0a04dc4-2720-9bdf-1c11-f735dc713d96,6dadd6c7-95a7-6d79-bf3c-4c06434308bc,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-11 06:44:05,2026-04-11 06:44:05,6c12ace8-ae34-0454-cac5-b68c28f49481,L3,{},,INSERT,1469,2026-09-07 11:54:00
6f4cc69a-4b22-d308-1c8e-aee95715bd6f,8da0365b-f898-97b9-405c-acec877409a9,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-06-03 22:17:28,2026-06-03 22:17:28,f42d47cc-00d4-af59-7427-3ca3287d06ca,L3,{},,INSERT,1470,2026-09-07 11:36:00
1ca35cfb-04fc-6d82-7d15-438552fbe43b,e9a1fa6f-81f7-6d1c-2dbc-2134c30ff46e,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-17 18:57:49,2026-04-17 18:57:49,fc3e058b-e0f3-eab0-5cec-4eb5edd96831,L2,{},,INSERT,1471,2026-09-07 11:38:00
f6e07cc0-6c52-c49f-9b49-bd26df57c59a,d0e6e660-7c69-dee1-bb5e-4bcf15ed6269,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-27 23:54:06,2026-01-27 23:54:06,c1590f53-8a0f-4efb-edcd-465e36386821,L3,{},,INSERT,1472,2026-09-07 11:50:00
b535106e-122c-9a56-01d7-425638602ab6,5f987c71-a65e-688e-abf3-ad39fec21bbe,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-03-24 14:51:49,2026-03-24 14:51:49,114125c6-3a9b-edd4-0f12-59e0a18ff6b6,L1,{},,INSERT,1473,2026-09-07 11:49:00
