rate_date,currency,usd_per_unit,rate_source
2026-07-14,GBP,1.304024,SYNTHETIC_TEST_FEED
2026-07-14,EUR,1.103009,SYNTHETIC_TEST_FEED
2026-07-15,GBP,1.306203,SYNTHETIC_TEST_FEED
2026-07-15,EUR,1.107519,SYNTHETIC_TEST_FEED
2026-07-16,GBP,1.290317,SYNTHETIC_TEST_FEED
2026-07-16,EUR,1.109285,SYNTHETIC_TEST_FEED
2026-07-17,GBP,1.304593,SYNTHETIC_TEST_FEED
2026-07-17,EUR,1.107947,SYNTHETIC_TEST_FEED
2026-07-20,GBP,1.290907,SYNTHETIC_TEST_FEED
2026-07-20,EUR,1.106948,SYNTHETIC_TEST_FEED
2026-07-21,GBP,1.293547,SYNTHETIC_TEST_FEED
2026-07-21,EUR,1.090185,SYNTHETIC_TEST_FEED
2026-07-22,GBP,1.300372,SYNTHETIC_TEST_FEED
2026-07-22,EUR,1.092804,SYNTHETIC_TEST_FEED
2026-07-23,GBP,1.299396,SYNTHETIC_TEST_FEED
2026-07-23,EUR,1.09078,SYNTHETIC_TEST_FEED
2026-07-24,GBP,1.301924,SYNTHETIC_TEST_FEED
2026-07-24,EUR,1.094197,SYNTHETIC_TEST_FEED
2026-07-27,GBP,1.304797,SYNTHETIC_TEST_FEED
2026-07-27,EUR,1.095862,SYNTHETIC_TEST_FEED
2026-07-28,GBP,1.302351,SYNTHETIC_TEST_FEED
2026-07-28,EUR,1.106465,SYNTHETIC_TEST_FEED
2026-07-29,GBP,1.298385,SYNTHETIC_TEST_FEED
2026-07-29,EUR,1.093493,SYNTHETIC_TEST_FEED
2026-07-30,GBP,1.300372,SYNTHETIC_TEST_FEED
2026-07-30,EUR,1.093028,SYNTHETIC_TEST_FEED
2026-07-31,GBP,1.306188,SYNTHETIC_TEST_FEED
2026-07-31,EUR,1.103373,SYNTHETIC_TEST_FEED
2026-08-03,GBP,1.297301,SYNTHETIC_TEST_FEED
2026-08-03,EUR,1.108499,SYNTHETIC_TEST_FEED
2026-08-04,GBP,1.305731,SYNTHETIC_TEST_FEED
2026-08-04,EUR,1.0906,SYNTHETIC_TEST_FEED
2026-08-05,GBP,1.294082,SYNTHETIC_TEST_FEED
2026-08-05,EUR,1.098073,SYNTHETIC_TEST_FEED
2026-08-06,GBP,1.297464,SYNTHETIC_TEST_FEED
2026-08-06,EUR,1.106828,SYNTHETIC_TEST_FEED
2026-08-07,GBP,1.302438,SYNTHETIC_TEST_FEED
2026-08-07,EUR,1.09057,SYNTHETIC_TEST_FEED
2026-08-10,GBP,1.290517,SYNTHETIC_TEST_FEED
2026-08-10,EUR,1.09057,SYNTHETIC_TEST_FEED
2026-08-11,GBP,1.29941,SYNTHETIC_TEST_FEED
2026-08-11,EUR,1.104699,SYNTHETIC_TEST_FEED
2026-08-12,GBP,1.292887,SYNTHETIC_TEST_FEED
2026-08-12,EUR,1.098153,SYNTHETIC_TEST_FEED
2026-08-13,GBP,1.300789,SYNTHETIC_TEST_FEED
2026-08-13,EUR,1.10525,SYNTHETIC_TEST_FEED
2026-08-14,GBP,1.30445,SYNTHETIC_TEST_FEED
2026-08-14,EUR,1.093395,SYNTHETIC_TEST_FEED
2026-08-17,GBP,1.292002,SYNTHETIC_TEST_FEED
2026-08-17,EUR,1.096973,SYNTHETIC_TEST_FEED
2026-08-18,GBP,1.294454,SYNTHETIC_TEST_FEED
2026-08-18,EUR,1.098398,SYNTHETIC_TEST_FEED
2026-08-19,GBP,1.291327,SYNTHETIC_TEST_FEED
2026-08-19,EUR,1.109375,SYNTHETIC_TEST_FEED
2026-08-20,GBP,1.299289,SYNTHETIC_TEST_FEED
2026-08-20,EUR,1.098302,SYNTHETIC_TEST_FEED
2026-08-21,GBP,1.307963,SYNTHETIC_TEST_FEED
2026-08-21,EUR,1.098808,SYNTHETIC_TEST_FEED
2026-08-24,GBP,1.307138,SYNTHETIC_TEST_FEED
2026-08-24,EUR,1.106189,SYNTHETIC_TEST_FEED
2026-08-25,GBP,1.290014,SYNTHETIC_TEST_FEED
2026-08-25,EUR,1.099525,SYNTHETIC_TEST_FEED
2026-08-26,GBP,1.307991,SYNTHETIC_TEST_FEED
2026-08-26,EUR,1.095137,SYNTHETIC_TEST_FEED
2026-08-27,GBP,1.296458,SYNTHETIC_TEST_FEED
2026-08-27,EUR,1.1008,SYNTHETIC_TEST_FEED
2026-08-28,GBP,1.309138,SYNTHETIC_TEST_FEED
2026-08-28,EUR,1.103369,SYNTHETIC_TEST_FEED
2026-08-31,GBP,1.291928,SYNTHETIC_TEST_FEED
2026-08-31,EUR,1.099856,SYNTHETIC_TEST_FEED
2026-09-01,GBP,1.306622,SYNTHETIC_TEST_FEED
2026-09-01,EUR,1.101425,SYNTHETIC_TEST_FEED
2026-09-02,GBP,1.292517,SYNTHETIC_TEST_FEED
2026-09-02,EUR,1.100295,SYNTHETIC_TEST_FEED
2026-09-03,GBP,1.306109,SYNTHETIC_TEST_FEED
2026-09-03,EUR,1.092852,SYNTHETIC_TEST_FEED
2026-09-04,GBP,1.303184,SYNTHETIC_TEST_FEED
2026-09-04,EUR,1.104864,SYNTHETIC_TEST_FEED
2026-09-07,GBP,1.304345,SYNTHETIC_TEST_FEED
2026-09-07,EUR,1.095646,SYNTHETIC_TEST_FEED
